"('bucket', 0)","('hero_id', 13)","('losses', 227110)","('matches', 492528)","('matches_per_bucket', 492528)","('players', 152424)","('total_assists', 5327435)","('total_boss_damage', 4388143711)","('total_creep_damage', 15692396315)","('total_deaths', 3444340)","('total_denies', 1787557)","('total_kills', 4610648)","('total_last_hits', 89000095)","('total_max_health', 1390043266)","('total_net_worth', 21304954770)","('total_neutral_damage', 13951851754)","('total_player_damage', 17040943704)","('total_player_damage_taken', 14294751047)","('total_shots_hit', 1719846047)","('total_shots_missed', 1330929719)","('wins', 265418)",,Haze
"('bucket', 0)","('hero_id', 14)","('losses', 91463)","('matches', 169984)","('matches_per_bucket', 169984)","('players', 61410)","('total_assists', 2313382)","('total_boss_damage', 783606756)","('total_creep_damage', 6429426718)","('total_deaths', 1087133)","('total_denies', 364275)","('total_kills', 1015058)","('total_last_hits', 26981672)","('total_max_health', 484575051)","('total_net_worth', 6815623010)","('total_neutral_damage', 2717656124)","('total_player_damage', 4566085074)","('total_player_damage_taken', 4518859395)","('total_shots_hit', 74456570)","('total_shots_missed', 53211653)","('wins', 78521)",,Holliday
"('bucket', 0)","('hero_id', 15)","('losses', 211914)","('matches', 426035)","('matches_per_bucket', 426035)","('players', 124740)","('total_assists', 5557626)","('total_boss_damage', 1873507797)","('total_creep_damage', 18903366558)","('total_deaths', 3517053)","('total_denies', 1237713)","('total_kills', 3359619)","('total_last_hits', 65242006)","('total_max_health', 1481529054)","('total_net_worth', 17235021993)","('total_neutral_damage', 7116575708)","('total_player_damage', 16018467953)","('total_player_damage_taken', 15845335390)","('total_shots_hit', 638574409)","('total_shots_missed', 602458212)","('wins', 214121)",,Bebop
"('bucket', 0)","('hero_id', 16)","('losses', 105637)","('matches', 216079)","('matches_per_bucket', 216079)","('players', 72516)","('total_assists', 2787952)","('total_boss_damage', 1563075163)","('total_creep_damage', 7027523725)","('total_deaths', 1395221)","('total_denies', 703553)","('total_kills', 1857459)","('total_last_hits', 32892455)","('total_max_health', 657694868)","('total_net_worth', 9095792754)","('total_neutral_damage', 3183415775)","('total_player_damage', 7215418315)","('total_player_damage_taken', 6635684806)","('total_shots_hit', 1053297660)","('total_shots_missed', 1291874925)","('wins', 110442)",,Calico
"('bucket', 0)","('hero_id', 17)","('losses', 78365)","('matches', 152209)","('matches_per_bucket', 152209)","('players', 63614)","('total_assists', 1832503)","('total_boss_damage', 913499330)","('total_creep_damage', 5998961922)","('total_deaths', 840931)","('total_denies', 415545)","('total_kills', 1114487)","('total_last_hits', 23829733)","('total_max_health', 392134464)","('total_net_worth', 6205612768)","('total_neutral_damage', 2113312905)","('total_player_damage', 5523626087)","('total_player_damage_taken', 3251679559)","('total_shots_hit', 112868799)","('total_shots_missed', 158937407)","('wins', 73844)",,Grey Talon
"('bucket', 0)","('hero_id', 18)","('losses', 103174)","('matches', 219797)","('matches_per_bucket', 219797)","('players', 76062)","('total_assists', 3378285)","('total_boss_damage', 1111700971)","('total_creep_damage', 6768623649)","('total_deaths', 1510232)","('total_denies', 667242)","('total_kills', 1310471)","('total_last_hits', 32803650)","('total_max_health', 962766955)","('total_net_worth', 9102888334)","('total_neutral_damage', 3191662081)","('total_player_damage', 5858470509)","('total_player_damage_taken', 9671987335)","('total_shots_hit', 646907900)","('total_shots_missed', 720424179)","('wins', 116623)",,Mo & Krill
"('bucket', 0)","('hero_id', 19)","('losses', 130919)","('matches', 239953)","('matches_per_bucket', 239953)","('players', 80809)","('total_assists', 2545814)","('total_boss_damage', 1167878429)","('total_creep_damage', 7584502089)","('total_deaths', 1792827)","('total_denies', 744452)","('total_kills', 2167617)","('total_last_hits', 34788416)","('total_max_health', 822169764)","('total_net_worth', 9643481330)","('total_neutral_damage', 3211819639)","('total_player_damage', 7754971451)","('total_player_damage_taken', 8393412427)","('total_shots_hit', 557419699)","('total_shots_missed', 458693168)","('wins', 109034)",,Shiv
"('bucket', 0)","('hero_id', 20)","('losses', 103764)","('matches', 216649)","('matches_per_bucket', 216649)","('players', 73917)","('total_assists', 3110025)","('total_boss_damage', 1724643358)","('total_creep_damage', 8015640556)","('total_deaths', 1263108)","('total_denies', 857358)","('total_kills', 952886)","('total_last_hits', 37030197)","('total_max_health', 625118675)","('total_net_worth', 8647603645)","('total_neutral_damage', 3435266069)","('total_player_damage', 5657291411)","('total_player_damage_taken', 6537239264)","('total_shots_hit', 607844332)","('total_shots_missed', 607330463)","('wins', 112885)",,Ivy
"('bucket', 0)","('hero_id', 25)","('losses', 115379)","('matches', 235952)","('matches_per_bucket', 235952)","('players', 91110)","('total_assists', 2698969)","('total_boss_damage', 2553988373)","('total_creep_damage', 9031304173)","('total_deaths', 1658348)","('total_denies', 653955)","('total_kills', 1910696)","('total_last_hits', 41413716)","('total_max_health', 819266449)","('total_net_worth', 9853763510)","('total_neutral_damage', 5643562779)","('total_player_damage', 8200721351)","('total_player_damage_taken', 8217951553)","('total_shots_hit', 298991507)","('total_shots_missed', 253066625)","('wins', 120573)",,Warden
"('bucket', 0)","('hero_id', 27)","('losses', 119364)","('matches', 233136)","('matches_per_bucket', 233136)","('players', 78428)","('total_assists', 2847037)","('total_boss_damage', 1680269282)","('total_creep_damage', 8075738918)","('total_deaths', 1783282)","('total_denies', 526713)","('total_kills', 1901732)","('total_last_hits', 36453343)","('total_max_health', 732640195)","('total_net_worth', 9514707438)","('total_neutral_damage', 4254017515)","('total_player_damage', 8079727836)","('total_player_damage_taken', 8808880898)","('total_shots_hit', 472731208)","('total_shots_missed', 389806635)","('wins', 113772)",,Yamato
